Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Mozambique,Africa,129036,412.84,11376,36.4,1611,1538,4.92,150,0.48,12
Botswana,Africa,122574,5212.31,15884,675.45,7354,1704,72.46,135,5.74,51
China,Western Pacific,121316,8.25,763,0.05,141,5639,0.38,4,0,0
Namibia,Africa,120221,4731.42,2325,91.5,237,3142,123.66,172,6.77,30
Zimbabwe,Africa,114489,770.3,8833,59.43,2054,3754,25.26,333,2.24,78
Finland,Europe,110720,2003.88,4115,74.48,738,984,17.81,0,0,0
Kosovo[1],Europe,108996,6069.95,836,46.56,195,2260,125.86,5,0.28,2
Ghana,Africa,106434,342.53,3415,10.99,381,854,2.75,31,0.1,7
Cyprus,Europe,104469,11764.46,3685,414.98,580,433,48.76,17,1.91,3
Montenegro,Europe,103158,16424.81,1383,220.2,290,1635,260.32,6,0.96,2
Uganda,Africa,94904,207.48,1622,3.55,165,2752,6.02,120,0.26,18
El Salvador,Americas,87498,1348.99,1439,22.19,0,2681,41.33,82,1.26,9
Cameroon,Africa,82064,309.14,0,0,0,1334,5.03,0,0,0
Cambodia,Western Pacific,80225,479.84,4308,25.77,591,1507,9.01,157,0.94,19
Maldives,South-East Asia,77999,14429.72,690,127.65,0,222,41.07,1,0.18,0
Rwanda,Africa,74364,574.14,7778,60.05,754,860,6.64,73,0.56,10
Luxembourg,Europe,74212,11852.91,396,63.25,68,824,131.61,2,0.32,0
Singapore,Western Pacific,65508,1119.73,786,13.44,98,40,0.68,3,0.05,1
Senegal,Africa,65333,390.19,5163,30.84,811,1441,8.61,123,0.73,18
Malawi,Africa,54715,286.02,3574,18.68,537,1748,9.14,160,0.84,19
Jamaica,Americas,53839,1818.17,1335,45.08,200,1211,40.9,29,0.98,4
Democratic Republic of the Congo,Africa,51048,57,1797,2.01,255,1045,1.17,22,0.02,0
Côte d’Ivoire,Africa,50893,192.94,982,3.72,243,338,1.28,12,0.05,4
Angola,Africa,43269,131.65,783,2.38,111,1032,3.14,29,0.09,6
Madagascar,Africa,42753,154.39,38,0.14,0,947,3.42,1,0,0
Réunion,Africa,40245,4495.08,3014,336.64,0,288,32.17,13,1.45,0
Trinidad and Tobago,Americas,39345,2811.39,1331,95.11,183,1110,79.31,54,3.86,9
Sudan,Eastern Mediterranean,37138,84.69,0,0,0,2776,6.33,0,0,0
Australia,Western Pacific,35384,138.76,1652,6.48,302,927,3.64,5,0.02,2
Fiji,Western Pacific,34888,3891.82,7391,824.48,968,283,31.57,56,6.25,11
Malta,Europe,34716,6746.68,515,100.08,48,424,82.4,1,0.19,1
Cabo Verde,Africa,33941,6104.64,220,39.57,35,298,53.6,0,0,0
French Guiana,Americas,30756,10297.24,716,239.72,145,193,64.62,8,2.68,3
Eswatini,Africa,29397,2533.87,4549,392.1,862,827,71.28,55,4.74,9
Mauritania,Africa,27231,585.66,2168,46.63,329,583,12.54,30,0.65,2
Guinea,Africa,26477,201.61,1076,8.19,289,243,1.85,32,0.24,5
Syrian Arab Republic,Eastern Mediterranean,26044,148.82,102,0.58,0,1919,10.97,7,0.04,0
Suriname,Americas,25614,4366.28,496,84.55,65,657,112,17,2.9,3
Gabon,Africa,25440,1142.99,70,3.15,0,165,7.41,2,0.09,0
Martinique,Americas,24418,6506.87,3382,901.23,0,154,41.04,38,10.13,0
Guyana,Americas,22705,2886.65,390,49.58,62,551,70.05,18,2.29,2
French Polynesia,Western Pacific,21805,7762.33,1930,687.06,489,155,55.18,7,2.49,1
Guadeloupe,Americas,21125,5279.61,2812,702.78,0,283,70.73,3,0.75,0
Haiti,Americas,20326,178.26,169,1.48,0,563,4.94,8,0.07,0
Mayotte,Africa,19518,7154.3,24,8.8,0,174,63.78,0,0,0
Seychelles,Africa,18362,18670.63,87,88.46,0,91,92.53,12,12.2,0
Papua New Guinea,Western Pacific,17798,198.93,81,0.91,11,192,2.15,0,0,0
Togo,Africa,16232,196.07,710,8.58,0,155,1.87,5,0.06,0
Tajikistan,Europe,15840,166.08,436,4.57,0,123,1.29,1,0.01,0
Somalia,Eastern Mediterranean,15735,99,377,2.37,77,837,5.27,28,0.18,5
Bahamas,Americas,15191,3863,646,164.27,67,295,75.02,9,2.29,3
Andorra,Europe,14809,19166.5,154,199.31,12,128,165.66,1,1.29,0
Mali,Africa,14616,72.17,52,0.26,10,534,2.64,3,0.01,0
Belize,Americas,14331,3604.12,262,65.89,47,338,85,1,0.25,0
Curaçao,Americas,13835,8431.19,388,236.45,78,130,79.22,4,2.44,3
Lesotho,Africa,13603,634.99,695,32.44,0,377,17.6,3,0.14,0
Burkina Faso,Africa,13599,65.06,33,0.16,0,169,0.81,0,0,0
Congo,Africa,13216,239.5,60,1.09,0,178,3.23,1,0.02,0
Aruba,Americas,12000,11239.53,479,448.64,123,111,103.97,2,1.87,0
Djibouti,Eastern Mediterranean,11656,1179.76,7,0.71,1,156,15.79,1,0.1,0
Timor-Leste,South-East Asia,11386,863.59,642,48.69,161,26,1.97,0,0,0
Central African Republic,Africa,11174,231.36,4023,83.3,0,98,2.03,0,0,0
South Sudan,Africa,11100,99.16,51,0.46,10,120,1.07,1,0.01,0
Equatorial Guinea,Africa,8928,636.36,48,3.42,0,123,8.77,0,0,0
Iceland,Europe,8613,2365.34,812,222.99,260,30,8.24,0,0,0
Benin,Africa,8608,71,214,1.77,0,110,0.91,2,0.02,0
Jersey,Europe,8530,7913.1,435,403.54,56,72,66.79,3,2.78,1
Gambia,Africa,8505,351.93,543,22.47,113,238,9.85,25,1.03,3
Guam,Western Pacific,8369,4958.67,110,65.18,28,143,84.73,0,0,0
Burundi,Africa,8088,68.02,1008,8.48,157,10,0.08,1,0.01,0
Nicaragua,Americas,7890,119.1,298,4.5,0,196,2.96,1,0.02,0
Lao People's Democratic Republic,Western Pacific,7511,103.24,1836,25.24,206,7,0.1,1,0.01,0
Yemen,Eastern Mediterranean,7104,23.82,62,0.21,8,1383,4.64,9,0.03,3
Eritrea,Africa,6573,185.34,29,0.82,5,35,0.99,1,0.03,0
Sierra Leone,Africa,6303,79.01,35,0.44,11,120,1.5,0,0,0
Saint Lucia,Americas,5671,3088.33,134,72.97,19,89,48.47,1,0.54,0
Niger,Africa,5663,23.39,56,0.23,0,196,0.81,1,0,0
Liberia,Africa,5461,107.97,57,1.13,0,220,4.35,72,1.42,0
San Marino,Europe,5183,15271.97,40,117.86,4,90,265.19,0,0,0
Gibraltar,Europe,5056,15006.98,164,486.78,25,95,281.97,1,2.97,1
Chad,Africa,4976,30.29,4,0.02,2,174,1.06,0,0,0
United States Virgin Islands,Americas,4777,4574.58,280,268.14,86,39,37.35,3,2.87,0
Isle of Man,Europe,4760,5597.89,427,502.16,0,29,34.1,0,0,0
Guinea-Bissau,Africa,4679,237.75,292,14.84,50,79,4.01,5,0.25,0
Mauritius,Africa,4592,361.07,679,53.39,0,20,1.57,1,0.08,0
Barbados,Americas,4433,1542.58,69,24.01,11,48,16.7,0,0,0
Comoros,Africa,4030,463.43,5,0.57,1,147,16.9,0,0,0
Liechtenstein,Europe,3196,8248.38,9,23.23,0,58,149.69,0,0,0
Monaco,Europe,2961,7545.1,108,275.2,21,33,84.09,0,0,0
Sint Maarten,Americas,2848,6641.48,105,244.86,24,34,79.29,0,0,0
Saint Martin,Americas,2797,7235.06,218,563.9,0,30,77.6,0,0,0
Bermuda,Americas,2596,4168.74,43,69.05,7,33,52.99,0,0,0
Bhutan,South-East Asia,2544,329.7,36,4.67,1,2,0.26,0,0,0
New Zealand,Western Pacific,2524,52.34,11,0.23,2,26,0.54,0,0,0
British Virgin Islands,Americas,2500,8268.02,0,0,0,31,102.52,0,0,0
Turks and Caicos Islands,Americas,2499,6454.36,20,51.66,13,18,46.49,0,0,0
Sao Tome and Principe,Africa,2465,1124.75,33,15.06,2,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2298,2071.39,10,9.01,1,12,10.82,0,0,0
Bonaire,Americas,1686,8061.2,10,47.81,0,17,81.28,0,0,0
Saint Barthélemy,Americas,1335,13505.31,270,2731.41,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1311,1338.72,16,16.34,0,43,43.91,0,0,0
United Republic of Tanzania,Africa,1017,1.7,0,0,0,21,0.04,0,0,0
Faroe Islands,Europe,987,2019.85,5,10.23,0,2,4.09,1,2.05,0
Guernsey,Europe,977,1515.48,36,55.84,8,18,27.92,1,1.55,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,646,982.96,6,9.13,2,2,3.04,0,0,0
Saint Kitts and Nevis,Americas,600,1127.99,18,33.84,0,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Brunei Darussalam,Western Pacific,339,77.49,6,1.37,0,3,0.69,0,0,0
Dominica,Americas,218,302.82,8,11.11,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,198,344.01,8,13.9,0,2,3.47,0,0,0
Grenada,Americas,170,151.08,2,1.78,1,1,0.89,0,0,0
Greenland,Europe,151,265.98,33,58.13,16,0,0,0,0,0
New Caledonia,Western Pacific,134,46.94,1,0.35,0,0,0,0,0,0
Anguilla,Americas,114,759.9,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,63,1808.79,3,86.13,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,29,500.43,1,17.26,1,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,22,440.09,1,20,1,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,8,413.86,1,51.73,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
